TimeStamp,Box0,Box1,Box2,Box3
0,157,1102,475,1134
1,161,1093,474,1134
2,169,1087,472,1133
3,178,1085,466,1131
4,190,1084,458,1130
5,202,1084,448,1131
6,217,1084,437,1131
7,230,1079,428,1128
8,247,1060,418,1127
9,263,1056,408,1123
10,281,1041,397,1122
11,297,1029,388,1118
12,310,1023,376,1114
13,326,1022,363,1108
14,339,1021,350,1099
15,351,1022,337,1092
16,362,1019,324,1088
17,375,1013,312,1087
18,387,1002,299,1088
19,399,987,287,1080
20,410,975,274,1080
21,418,972,263,1068
22,423,971,250,1060
23,424,970,235,1043
24,423,969,221,1049
25,424,969,206,1056
26,425,969,192,1066
27,426,974,178,1077
28,426,978,161,1088
29,426,979,147,1098
30,424,976,133,1109
31,423,968,120,1121
32,419,964,105,1132
33,414,964,90,1143
34,405,971,82,1153
35,407,983,81,1162
36,412,996,80,1172
37,418,1010,77,1182
38,422,1023,70,1191
39,422,1035,60,1201
40,421,1045,51,1209
41,421,1049,50,1220
42,420,1049,48,1231
43,420,1049,46,1241
44,422,1051,42,1250
45,425,1049,40,1257
46,425,1049,39,1157
47,420,1049,37,1156
48,415,1046,35,1156
49,411,1041,33,1155
50,411,1037,30,1157
51,369,1038,28,1158
52,377,1045,28,1157
53,385,1058,29,1157
54,395,1071,29,1155
55,405,1087,29,1151
56,417,1102,22,1147
57,430,1116,13,1144
58,437,1130,10,1144
59,437,1143,7,1143
60,437,1155,3,1142
61,438,1167,1,1141
62,442,1180,1,1143
63,446,1195,2,1141
64,453,1209,2,1139
65,461,1221,4,1136
66,469,1231,0,1132
67,480,1243,0,1126
68,491,1253,0,1120
69,502,1261,0,1116
70,514,1269,0,1113
71,525,1275,0,1112
72,535,1279,0,1111
73,547,1279,0,1113
74,559,1278,0,1118
75,564,1276,0,1109
76,565,1270,0,1108
77,564,1258,0,1101
78,565,1257,0,1094
79,566,1260,0,733
80,565,1257,0,720
81,565,1250,9,707
82,564,1238,0,695
83,562,1251,0,684
84,561,1257,0,674
85,560,1267,0,664
86,560,1255,0,653
87,562,1262,1,638
88,565,1253,0,623
89,568,1255,0,608
90,572,1254,0,595
91,576,1259,0,578
92,579,1267,0,569
93,584,1258,0,560
94,588,1255,0,548
95,594,1255,0,536
96,600,1256,0,524
97,607,1263,0,512
98,614,1260,0,499
99,622,1255,0,484
100,628,1278,0,471
101,632,1279,1,458
102,668,1279,1,447
103,668,1278,0,439
104,670,1278,1,1136
105,671,1277,0,1143
106,673,1269,1,1150
107,671,1260,0,1156
108,668,1248,0,1162
109,661,1235,1,1166
110,648,1221,4,1171
111,636,1210,5,1172
112,622,1210,5,1173
113,615,1213,8,1172
114,611,1212,9,1173
115,611,1209,10,1175
116,611,1206,11,1178
117,608,1200,13,1183
118,606,1192,12,1188
119,599,1182,7,1195
120,591,1171,1,1203
121,583,1157,0,1212
122,575,1154,0,1224
123,569,1148,1,1235
124,567,1144,0,1247
125,566,1143,1,1260
126,567,1144,7,1272
127,566,1151,17,1279
128,567,1157,30,1279
129,570,1154,43,1259
130,572,1165,58,1258
131,572,1179,66,1254
132,575,1192,66,1249
133,576,1206,65,1238
134,574,1214,66,1228
135,567,1218,67,1229
136,557,1221,70,1230
137,549,1223,72,1230
138,545,1225,73,1228
139,543,1224,73,1224
140,542,1223,74,1217
141,540,1224,73,1211
142,537,1227,72,1203
143,532,1229,93,1194
144,530,1231,94,1184
145,541,1231,93,1175
146,547,1231,93,1165
147,344,1230,93,1156
148,345,1229,94,1144
149,346,1231,93,1133
150,346,1237,93,1126
151,345,1245,93,1118
152,341,1253,93,1112
153,336,1260,93,1106
154,332,954,93,1100
155,324,938,93,1083
156,316,923,93,1088
157,307,910,93,1093
158,299,898,93,1101
159,307,888,93,1108
160,360,877,93,1115
161,347,865,93,1123
162,332,851,93,1131
163,316,837,92,1140
164,321,823,171,1149
165,83,805,175,1157
166,88,788,180,1165
167,88,779,184,1173
168,89,781,192,1179
169,88,781,201,1185
170,87,782,211,1190
171,85,781,220,1196
172,80,784,230,1202
173,75,787,241,1209
174,69,789,251,1217
175,66,789,257,1225
176,62,792,261,1231
177,60,793,263,1235
178,57,791,264,1233
179,54,786,267,1234
180,66,777,272,934
181,49,771,280,944
182,50,766,287,958
183,57,761,296,970
184,69,757,306,984
185,62,755,315,997
186,55,754,324,1008
187,47,755,335,1022
188,40,757,381,1035
189,34,760,411,1045
190,29,764,414,1056
191,24,766,415,1064
192,24,767,415,1070
193,24,765,418,1079
194,33,762,424,1087
195,47,757,431,1098
196,57,751,440,1105
197,398,746,449,1119
198,392,743,459,1126
199,386,739,471,1139
200,379,738,483,1153
201,375,738,493,1168
202,369,763,504,1179
203,365,772,513,1189
204,360,766,524,1197
205,357,1029,534,1216
206,353,1036,544,1223
207,350,1048,557,1234
208,347,1062,569,1243
209,344,1075,582,1252
210,341,1085,595,1255
211,337,1096,605,1267
212,332,1107,615,1279
213,327,1116,625,1279
214,321,1129,634,716
215,314,1143,645,717
216,307,1158,658,720
217,300,1171,671,723
218,293,1184,683,730
219,287,1197,694,737
220,281,1210,704,747
221,279,1221,714,759
222,276,1228,723,772
223,274,1236,735,786
224,271,1242,744,798
225,270,1251,756,810
226,270,1261,768,817
227,267,1272,778,816
228,264,1278,786,815
229,261,1276,793,815
230,258,1250,800,813
231,250,1257,807,812
232,245,1267,815,810
233,239,1278,824,807
234,235,1279,832,801
235,227,1279,842,795
236,220,1279,854,786
237,216,1279,861,780
238,213,1279,869,775
239,212,1278,876,772
240,212,1279,883,770
241,211,1279,891,769
242,211,1278,899,767
243,212,1279,908,766
244,210,1279,916,761
245,210,1278,924,754
246,209,1278,930,749
247,210,1278,934,741
248,214,1278,938,743
249,219,1278,942,739
250,224,1278,947,735
251,230,1278,952,728
252,235,1278,959,716
253,240,1278,965,716
254,245,1278,972,715
255,249,1277,976,746
256,253,1060,993,757
257,256,1060,992,768
258,259,1059,987,776
259,261,1059,1020,781
260,263,1060,1012,783
261,266,1062,1003,785
262,269,1063,993,783
263,271,1064,982,784
264,274,1064,972,789
265,277,1066,961,799
266,282,1069,949,809
267,286,1074,934,821
268,290,1081,923,834
269,295,1088,912,844
270,301,1096,899,852
271,308,1104,887,855
272,315,1115,875,858
273,323,1126,860,860
274,328,1135,848,864
275,335,1145,833,874
276,340,1156,819,885
277,344,1169,804,897
278,346,1181,790,911
279,349,1191,775,924
280,350,1201,759,934
281,351,1202,744,941
282,352,1202,728,947
283,354,1203,716,951
284,354,1204,705,737
285,356,1205,695,732
286,357,1205,683,726
287,358,1207,670,721
288,361,1208,656,717
289,366,1210,641,717
290,370,1212,626,716
291,372,1212,610,715
292,374,1214,595,714
293,377,1215,579,717
294,379,1216,563,723
295,380,1217,547,731
296,381,1217,533,738
297,381,1219,520,743
298,380,1218,508,748
299,378,1217,500,754
300,375,1221,488,761
301,371,1216,148,769
302,368,1203,142,777
303,364,1202,133,780
304,360,897,121,779
305,356,888,107,776
306,349,877,91,775
307,343,866,75,775
308,337,854,59,775
309,331,840,46,774
310,326,826,31,771
311,322,813,19,766
312,318,800,8,758
313,315,788,0,748
314,313,778,0,737
315,312,770,633,726
316,311,762,633,713
317,309,751,634,702
318,307,738,634,691
319,305,721,634,678
320,303,705,631,666
321,299,693,628,654
322,296,686,625,642
323,291,682,624,630
324,286,679,627,618
325,280,677,632,605
326,273,674,639,614
327,266,671,646,622
328,259,666,653,627
329,252,660,657,626
330,247,653,661,622
331,243,650,662,616
332,240,650,663,610
333,237,649,665,605
334,235,647,669,602
335,232,647,662,603
336,228,649,668,608
337,85,654,673,613
338,96,658,679,618
339,108,660,683,621
340,120,660,687,624
341,129,654,689,626
342,139,642,692,627
343,147,627,698,627
344,154,612,706,627
345,165,596,717,627
346,176,581,729,626
347,187,566,741,623
348,202,551,749,623
349,219,536,754,623
350,235,521,758,623
351,249,508,761,621
352,261,498,763,620
353,275,493,763,617
354,285,489,763,613
355,297,488,767,603
356,309,488,773,593
357,318,489,779,579
358,331,488,789,566
359,637,486,798,553
360,642,483,810,540
361,645,478,819,530
362,647,471,828,522
363,648,462,835,523
364,649,455,840,524
365,648,448,845,526
366,649,443,850,527
367,649,437,859,530
368,648,430,870,536
369,649,422,886,544
370,648,413,900,551
371,648,403,912,555
372,650,394,921,551
373,651,386,926,546
374,654,381,48,541
375,659,376,44,537
376,666,371,38,532
377,675,366,29,531
378,684,357,20,534
379,694,345,11,539
380,705,333,7,542
381,718,321,6,543
382,730,312,7,544
383,744,305,11,544
384,758,300,14,546
385,770,297,16,547
386,781,294,18,544
387,788,289,17,543
388,792,282,17,544
389,795,273,14,545
390,801,262,10,546
391,807,252,9,551
392,813,245,10,557
393,824,244,9,567
394,835,244,10,577
395,854,243,13,590
396,868,243,12,599
397,878,242,16,610
398,885,240,14,620
399,894,238,15,627
400,908,234,18,634
401,946,227,16,640
402,938,219,19,647
403,928,207,17,655
404,918,198,29,665
405,908,194,35,674
406,898,194,41,684
407,887,195,46,694
408,879,195,50,705
409,868,194,53,713
410,860,194,56,717
411,849,195,60,717
412,840,194,64,717
413,829,195,68,717
414,820,195,75,714
415,810,195,80,708
416,800,194,79,704
417,789,231,78,701
418,777,232,78,698
419,767,233,78,694
420,755,234,78,708
421,742,236,80,710
422,731,237,84,712
423,722,237,89,715
424,719,237,96,713
425,718,237,104,707
426,718,237,113,703
427,719,237,123,700
428,719,236,135,696
429,721,238,146,695
430,726,240,156,698
431,729,241,167,698
432,730,243,178,694
433,729,244,190,694
434,725,246,201,694
435,717,247,211,697
436,707,247,223,716
437,697,248,235,705
438,690,994,244,691
439,682,994,245,676
440,678,993,245,661
441,674,995,244,646
442,671,999,245,631
443,667,1000,248,617
444,665,997,254,601
445,660,992,261,586
446,652,984,268,571
447,643,975,277,557
448,631,967,284,544
449,619,963,293,532
450,608,965,303,518
451,600,967,313,506
452,596,971,324,492
453,595,971,335,478
454,596,969,346,464
455,597,964,358,448
456,600,956,370,434
457,601,946,381,424
458,598,941,392,423
459,591,935,404,423
460,582,941,415,420
461,571,945,426,415
462,559,947,437,406
463,547,946,447,396
464,537,935,457,386
465,528,927,469,375
466,523,916,480,366
467,522,914,492,350
468,522,899,502,345
469,522,883,513,334
470,522,887,523,323
471,522,895,533,312
472,522,885,543,300
473,522,848,553,287
474,523,860,563,276
475,527,872,573,264
476,529,883,582,253
477,530,897,592,245
478,527,913,601,236
479,525,927,603,229
480,525,943,602,219
481,525,959,602,200
482,522,974,601,185
483,516,987,600,168
484,506,1001,600,157
485,497,1013,599,170
486,489,1027,596,169
487,477,1037,591,170
488,467,1038,586,169
489,458,1041,584,167
490,450,1044,585,163
491,439,1048,591,156
492,429,1052,600,149
493,417,1056,609,146
494,407,1061,619,142
495,395,1066,628,138
496,386,990,637,134
497,378,990,646,129
498,371,990,654,126
499,362,990,664,122
500,352,989,671,119
501,345,986,678,114
502,338,981,682,108
503,333,973,687,98
504,327,966,692,88
505,321,956,697,79
506,313,948,697,70
507,305,940,696,63
508,295,933,695,55
509,283,927,693,50
510,271,923,692,41
511,259,917,691,34
512,250,912,690,26
513,251,904,690,19
514,252,893,689,11
515,254,884,686,2
516,256,879,682,0
517,255,874,676,0
518,256,867,669,0
519,256,861,665,0
520,256,857,662,0
521,260,857,662,0
522,264,857,659,0
523,269,857,659,0
524,272,849,659,0
525,274,841,660,0
526,272,828,663,0
527,266,816,664,0
528,260,802,663,0
529,252,789,663,0
530,244,776,662,0
531,237,763,659,0
532,229,751,655,3
533,223,740,648,5
534,219,728,637,8
535,217,715,628,11
536,218,700,629,13
537,219,686,628,955
538,220,670,629,948
539,219,655,628,940
540,216,644,627,932
541,211,632,628,922
542,202,621,629,915
543,194,608,633,907
544,183,596,640,899
545,172,586,650,894
546,162,574,660,888
547,155,567,670,883
548,149,567,679,878
549,144,567,688,873
550,143,566,699,869
551,144,566,709,862
552,144,569,720,855
553,143,573,728,847
554,139,576,734,839
555,139,581,738,831
556,140,585,743,821
557,142,585,748,813
558,143,583,747,806
559,144,579,745,800
560,144,573,743,793
561,144,566,742,786
562,145,560,742,779
563,148,557,742,773
564,153,556,742,766
565,160,557,740,759
566,167,555,739,745
567,171,553,735,738
568,173,548,732,732
569,176,544,727,724
570,168,545,726,716
571,166,541,729,710
572,165,544,732,711
573,165,542,733,712
574,164,536,732,713
575,164,526,731,715
576,163,516,730,717
577,162,505,728,721
578,159,497,725,725
579,157,491,723,729
580,154,484,719,732
581,154,480,713,732
582,153,480,710,729
583,154,480,710,727
584,153,482,709,720
585,152,485,708,713
586,151,488,708,707
587,148,491,712,703
588,144,494,718,700
589,173,500,722,701
590,180,507,723,701
591,183,515,723,702
592,183,522,719,704
593,184,526,713,705
594,184,532,708,705
595,183,533,703,701
596,181,532,700,695
597,179,529,696,690
598,176,527,691,683
599,173,926,686,679
600,173,919,679,677
601,172,909,673,678
602,173,896,667,680
603,175,880,660,682
604,175,868,651,684
605,174,855,642,684
606,236,841,636,682
607,240,825,631,684
608,244,809,624,686
609,248,792,618,686
610,251,776,613,685
611,254,762,117,685
612,256,750,129,685
613,258,739,138,686
614,557,728,149,686
615,556,717,161,687
616,556,705,176,687
617,557,691,190,688
618,558,677,205,689
619,561,666,218,689
620,565,654,231,691
621,566,644,241,693
622,566,635,251,696
623,566,626,259,700
624,564,618,267,705
625,562,609,276,709
626,562,598,275,706
627,561,583,276,705
628,562,567,276,705
629,562,552,277,706
630,562,540,282,708
631,561,531,290,709
632,558,528,299,712
633,555,529,311,714
634,552,527,322,715
635,548,526,334,714
636,543,526,348,711
637,540,527,361,707
638,537,528,375,698
639,533,530,389,686
640,528,535,401,672
641,522,540,410,656
642,513,542,414,641
643,505,540,419,628
644,499,533,424,616
645,492,521,430,605
646,485,506,439,595
647,476,494,450,584
648,468,481,462,574
649,460,469,472,561
650,452,455,480,546
651,444,441,481,530
652,437,427,482,515
653,430,413,482,498
654,422,400,482,482
655,416,378,481,466
656,413,364,480,450
657,408,361,480,437
658,401,360,480,425
659,396,361,479,416
660,390,359,479,413
661,389,357,481,412
662,389,353,484,412
663,389,349,487,412
664,390,343,491,410
665,388,336,491,408
666,385,324,491,406
667,384,318,492,402
668,385,303,492,398
669,386,284,490,395
670,387,272,486,390
671,388,262,485,386
